	RS	FRB	bask	axax	LTS	spiny	IB	RS	nontuft	bask	axax	LTS	TCR	nRT
RS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bask	6	6	3	3	3	6	0	0	0	0	0	0	0	0
axax	6	6	0	0	0	6	6	6	6	0	0	0	0	0
LTS	20	20	20	20	20	20	20	20	20	20	20	20	0	0
spiny	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IB	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nontuft	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bask	0	0	0	0	0	6	6	6	6	3	3	3	0	0
axax	6	6	0	0	0	6	6	6	6	0	0	0	0	0
LTS	20	20	20	20	20	20	20	20	20	20	20	20	0	0
TCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nRT	0	0	0	0	0	0	0	0	0	0	0	0	3.30e0	9.e0






