	RS	FRB	bask	axax	LTS	spiny	IB	RS	nontuft	bask	axax	LTS	TCR	nRT
RS	130.5	130 	100 	100	100	130	130	130	130	100	100	100	0	0
FRB	130	130 	100 	100	100	130	130	130	130	100	100	100	0	0
bask	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axax	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spiny	130	130 	100 	100	100	130	130	130	130	100	100	100	0	0
IB	130	130 	100 	100	100	130	130	130	130	100	100	100	0	0
RS	130	130 	100 	100	100	130	130	130	130	100	100	100	0	0
nontuft	130	130 	100 	100	100	130	130	130	130	100	100	100	130	100
bask	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axax	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCR	130	130 	100 	100	0	130	130	130	130	100	100	0	0	150
nRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0






