	RS	FRB	bask	axax	LTS	spiny	IB	RS	nontuft	bask	axax	LTS	TCR	nRT
RS	0.25e-3	0.25e-3 3.00e-3	3.00e-3	2.0e-3	0.10e-3	0.10e-3	0.10e-3	0.50e-3	1.00e-3	1.00e-3	1.00e-3	0	0
FRB	0.25e-3	0.25e-3 3.00e-3	3.00e-3	2.0e-3	0.10e-3	0.10e-3	0.10e-3	0.50e-3	1.00e-3	1.00e-3	1.00e-3	0	0
bask	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axax	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spiny	1.0e-3 	1.0e-3 	1.0e-3 	1.0e-3	1.0e-3	1.0e-3	1.0e-3	1.0e-3	1.0e-3	1.0e-3	1.0e-3	1.0e-3	0	0
IB	0.5e-3	0.5e-3 	1.0e-3 	1.0e-3	1.0e-3	0.5e-3	2.0e-3	2.0e-3	2.0e-3	3.0e-3	3.0e-3	2.0e-3	0	0
RS	0.5e-3	0.5e-3 	1.0e-3 	1.0e-3	1.0e-3	0.5e-3	1.0e-3	1.0e-3	1.0e-3	3.0e-3	3.0e-3	2.0e-3	0	0
nontuft	0.5e-3	0.5e-3 	1.0e-3 	1.0e-3	1.0e-3	0.5e-3	1.0e-3	1.0e-3	1.0e-3	3.0e-3	3.0e-3	2.0e-3	.75e-3	0.5e-3
bask	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axax	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCR	0.5e-3	0.5e-3 	0.1e-3 	0.1e-3	0	1.0e-3	1.5e-3	1.5e-3	1.0e-3	1.5e-3	1.0e-3	0	0	0.75e-3
nRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0

      









